Departamento,Municipio,Latitud,Longitud,Geolocalizacion,Operadora,Contrato,Campo,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
CASANARE,MANI,4.675769488,-72.21280273,POINT (-72.21280273 4.675769488),EMERALD ENERGY PLC SUCURSAL COLOMBIA,VIGIA SUR,CAMPO RICO,0,0.0009,0.0008,0.0008,0.0011,0.0011,0.0011,0.0008,0.0066,0.198,,
CASANARE,MONTERREY,4.841308642,-72.8473434,POINT (-72.8473434 4.841308642),Frontera Energy Colombia Corp Sucursal Colombia,Canaguay,CANAGUARO,0.1931,0.2117,0.1899,0.2655,0.282,0.209,0.2192,0.1484,1.7188,51.564,,
CASANARE,NUNCHIA,5.529181235,-72.09251937,POINT (-72.09251937 5.529181235),PERENCO COLOMBIA LIMITED,TIERRA BLANCA,CASANARE,0.0351,0.0124,0.0368,0.0091,0.0027,0.009,0.0056,0.015,0.1257,3.771,,
CASANARE,NUNCHIA,5.529181235,-72.09251937,POINT (-72.09251937 5.529181235),PERENCO COLOMBIA LIMITED,TOCARIA,CASANARE,0,0,0,0,0,0,0,0.2471,0.2471,7.413,,
CASANARE,OROCUE,4.915139133,-71.59873966,POINT (-71.59873966 4.915139133),COLOMBIA ENERGY DEVELOPMENT CO,CANACABARE,ALCARAVÁN,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0056,0.168,,
CASANARE,OROCUE,4.915139133,-71.59873966,POINT (-71.59873966 4.915139133),INVEPETROL LIMITED COLOMBIA,CURITO,CASANARE ESTE,0.0023,0.0024,0.0023,0.002,0.0038,0.0021,0.0019,0.0021,0.0189,0.567,,
CASANARE,OROCUE,4.915139133,-71.59873966,POINT (-71.59873966 4.915139133),COLOMBIA ENERGY DEVELOPMENT CO,DANES,LLA 23,0,0,0,0.003,0.0035,0.003,0.003,0.0004,0.0129,0.387,,
CASANARE,OROCUE,4.915139133,-71.59873966,POINT (-71.59873966 4.915139133),COLOMBIA ENERGY DEVELOPMENT CO,LABRADOR,LLA 23,0,0.0009,0.072,0.2122,0.1189,0.1407,0.1406,0.2766,0.9619,28.857,,
CASANARE,OROCUE,4.915139133,-71.59873966,POINT (-71.59873966 4.915139133),CANACOL ENERGY COLOMBIA SAS,RANCHO HERMOSO,RANCHO HERMOSO,0.0595,0.0653,0.0593,0.0592,0.0571,0.0621,0.0554,0.0488,0.4667,14.001,,
CASANARE,OROCUE,4.915139133,-71.59873966,POINT (-71.59873966 4.915139133),HOCOL S.A.,SANTO DOMINGO,LA PUNTA,0.0436,0.0396,0.0436,0.0376,0.0317,0.0293,0.0293,0.0284,0.2831,8.493,,
